about,关于
acceptedAnswer,被采纳的答案
acceptedOffer,被接受的报价
acceptedPaymentMethod,卖家接受的支付方式
acceptsReservations,是否接受预定
accessCode,存取码
accessMode,感知形式
accessModeSufficient,全部感知形式
accessibilityAPI,无障碍环境服务API
accessibilityControl,无障碍环境服务控制方法
accessibilityFeature,无障碍环境服务内容特性
accessibilityHazard,无障碍环境服务的连带风险
accessibilitySummary,无障碍环境服务的总结
accountId,账户ID
accountablePerson,负责人
acquiredFrom,获取来源
actionApplication,执行操作的应用
actionOption,执行操作的选项
actionPlatform,执行操作的平台
actionStatus,执行操作的状态
actor,演员
actors,演员们
addOn,附加品
additionalName,附加名称
additionalNumberOfGuests,其余的客户人数
additionalProperty,附加属性
additionalType,附加类型
address,地址
addressCountry,地址所在国家
addressLocality,地址所在地方
addressRegion,地址所在行政区
advanceBookingRequirement,预定要求
affiliation,所属机构
agent,行为的发起者
aggregateRating,总体评分
aircraft,航空器
album,专辑
albumProductionType,专辑制作类型
albumRelease,专辑发行版本
albumReleaseType,专辑发行类型
albums,专辑
alignmentType,教学达标类型
alternateName,别名
alternativeHeadline,副标题
alumni,校友
alumniOf,毕业于
amenityFeature,特色服务
amount,金钱数量
amountOfThisGood,货物数量
annualPercentageRate,年利率
answerCount,回答的总数
application,相应的软件应用
applicationCategory,软件应用的分类
applicationSubCategory,软件应用的子分类
applicationSuite,软件应用套装
appliesToDeliveryMethod,适用的送货方式
appliesToPaymentMethod,适用的支付方式
area,广播覆盖地区
areaServed,服务覆盖区域
arrivalAirport,到达机场
arrivalBusStop,到达汽车站
arrivalGate,到达登机口
arrivalPlatform,到达站台
arrivalStation,到达火车站
arrivalTerminal,到达航站楼
arrivalTime,到达时间
artEdition,一版有多少个拷贝
artMedium,艺术材料
artform,艺术形式
articleBody,文章正文
articleSection,文章所在栏目
artworkSurface,艺术作品材质
assembly,程序库
assemblyVersion,程序库版本
associatedArticle,相关文章
associatedMedia,相关媒体对象
athlete,运动员
attendee,参与者
attendees,参与者
audience,受众
audienceType,受众类型
audio,音频
author,作者
availability,供应状态
availabilityEnds,供应截止时间
availabilityStarts,供应开始时间
availableAtOrFrom,提货地点
availableChannel,获得服务的渠道
availableDeliveryMethod,支持的物流方式
availableFrom,提货开始时间
availableLanguage,支持的语言
