Thing,事物
Action,动作
MoveAction,动作：移动
TravelAction,动作：旅行
DepartAction,动作：离开某地
ArriveAction,动作：到达
AssessAction,动作：评估
IgnoreAction,动作：忽略
ChooseAction,动作：选择
VoteAction,动作：投票
ReactAction,动作：反应
LikeAction,动作：喜欢
DisagreeAction,动作：不同意
EndorseAction,动作：背书支持
AgreeAction,动作：同意
DislikeAction,动作：讨厌
WantAction,动作：想要
ReviewAction,动作：评论
TransferAction,动作：转移
DownloadAction,动作：下载
LendAction,动作：借出
GiveAction,动作：给予
ReceiveAction,动作：接受
SendAction,动作：发送
BorrowAction,动作：借入
ReturnAction,动作：返回
TakeAction,动作：拿走
TradeAction,动作：钱物交换
QuoteAction,动作：估价
SellAction,动作：卖出
PayAction,动作：付款
RentAction,动作：租用
DonateAction,动作：捐助
OrderAction,动作：订购
BuyAction,动作：买入
TipAction,动作：给小费
ControlAction,动作：控制
ResumeAction,动作：继续
DeactivateAction,动作：停用
ActivateAction,动作：启动
SuspendAction,动作：暂停
OrganizeAction,动作：整理
PlanAction,动作：计划
CancelAction,动作：取消
ReserveAction,动作：预定
ScheduleAction,动作：安排时间
ApplyAction,动作：申请
AllocateAction,动作：分配
AuthorizeAction,动作：批准
AssignAction,动作：指派
RejectAction,动作：拒绝
AcceptAction,动作：接受
BookmarkAction,动作：收藏
InteractAction,动作：交互
BefriendAction,动作：交友
RegisterAction,动作：注册
CommunicateAction,动作：沟通
CheckOutAction,动作：付款离开
InviteAction,动作：邀请
CommentAction,动作：发表意见
ShareAction,动作：分享
InformAction,动作：告知
RsvpAction,动作：对请柬的答复
ConfirmAction,动作：确认
AskAction,动作：询问
CheckInAction,动作：签到
ReplyAction,动作：答复
SubscribeAction,动作：订阅
LeaveAction,动作：离别
UnRegisterAction,动作：注销
MarryAction,动作：结婚
JoinAction,动作：参加
FollowAction,动作：在推特上关注某人
AchieveAction,动作：实现
WinAction,动作：赢得比赛
LoseAction,动作：输掉比赛
TieAction,动作：比赛平局
ConsumeAction,动作：消耗
ViewAction,动作：查看
DrinkAction,动作：喝
ListenAction,动作：聆听
WatchAction,动作：观看
UseAction,动作：使用
WearAction,动作：穿戴
InstallAction,动作：安装
ReadAction,动作：阅读
EatAction,动作：吃
CreateAction,动作：新建
DrawAction,动作：画
FilmAction,动作：摄像
CookAction,动作：烹饪
PhotographAction,摄影
PaintAction,动作：用颜料画画
WriteAction,动作：书写
PlayAction,动作：游玩
ExerciseAction,动作：锻炼
PerformAction,动作：表演
SearchAction,动作：搜寻
FindAction,动作：寻找
CheckAction,动作：检查
DiscoverAction,动作：发现
TrackAction,动作：追踪
UpdateAction,动作：更新
AddAction,动作：添加
InsertAction,动作：插入
AppendAction,动作：增补
PrependAction,动作：追加在前
DeleteAction,动作：删除
ReplaceAction,动作：替换
CreativeWork,作品
Recipe,菜谱
Dataset,数据集
DataFeed,数据源头
Game,游戏
VideoGame,电子游戏
Painting,绘画作品
Course,课程
VisualArtwork,视觉艺术作品
DigitalDocument,数字文档
TextDigitalDocument,文本型数字文档
PresentationDigitalDocument,数字型演示文档
SpreadsheetDigitalDocument,电子表格数字文档
NoteDigitalDocument,电子笔记
Season,季
PublicationVolume,期刊的一卷
MusicRecording,音乐录音
TVSeason,电视剧的一季
PublicationIssue,期刊的一期
Article,文章
Report,报告
TechArticle,技术文章
APIReference,API文档
ScholarlyArticle,学术文章
NewsArticle,新闻报导
SocialMediaPosting,社交媒体文章
DiscussionForumPosting,论坛帖子
BlogPosting,博客文章
LiveBlogPosting,博客实时直播
WebPageElement,网页元素
WPFooter,页面元素：页脚
SiteNavigationElement,站点导航网页元素
WPAdBlock,页面元素：广告块
WPSideBar,页面元素：边框
WPHeader,页面元素：页眉
Table,表格
MenuSection,菜单栏目
WebSite,网站
Movie,电影
SoftwareApplication,软件程序
VideoGame,电子游戏
MobileApplication,移动应用
WebApplication,网络应用
Code,源代码
Sculpture,雕像
Map,地图
Comment,评论
Answer,回答
MusicComposition,乐曲
WebPage,网页
AboutPage,关于我们
QAPage,常见问题页面
CheckoutPage,结算页面
ProfilePage,用户信息页面
SearchResultsPage,搜索结果页面
ContactPage,联系我们页面
CollectionPage,列表页面
VideoGallery,视频图册页面
ImageGallery,图片列表页面
ItemPage,详情页面
CreativeWorkSeries,系列作品
MovieSeries,系列电影
BookSeries,丛书
RadioSeries,无线电广播剧集
Periodical,期刊
VideoGameSeries,电子游戏系列
TVSeries,电视剧集
Conversation,对话
SoftwareSourceCode,软件源码
Message,消息
EmailMessage,电子邮件消息
Book,图书
Menu,菜单
Series,系列
Question,问题
Blog,博客
Episode,剧集
TVEpisode,电视剧集
RadioEpisode,无线电广播剧集
Review,评论
ClaimReview,检查某人的言论是否符合事实的文字
Clip,片段
VideoGameClip,电子游戏片段
RadioClip,无线电广播片段
TVClip,电视节目片段
MovieClip,电影片段
Photograph,照片
DataCatalog,数据目录
TVSeries,电视剧集
MusicPlaylist,歌单
MusicAlbum,音乐专辑
MusicRelease,音乐专辑发行版本
MediaObject,媒体对象
AudioObject,音频对象
ImageObject,图片对象
Barcode,条形码
MusicVideoObject,音乐视频对象
VideoObject,视频对象
DataDownload,数据下载
CreativeWorkSeason,作品的一季
TVSeason,电视剧的一季
RadioSeason,无线电广播剧集的一季
Person,人
Organization,机构
LocalBusiness,本地商铺
AnimalShelter,动物收容所
FoodEstablishment,餐饮服务机构
CafeOrCoffeeShop,咖啡馆
IceCreamShop,冰淇淋店
Restaurant,餐厅
Bakery,烘焙店
FastFoodRestaurant,快餐店
Winery,酒庄
BarOrPub,酒吧
Brewery,啤酒厂
LegalService,法律服务机构
Attorney,律师事务所
Notary,公证服务机构
HomeAndConstructionBusiness,家装服务机构
GeneralContractor,总承包商
HousePainter,油漆工
Electrician,电工
MovingCompany,搬家公司
HVACBusiness,暖通空调服务机构
Locksmith,锁匠
Plumber,水暖工
RoofingContractor,屋顶承包商
RealEstateAgent,房地产中介
ChildCare,托儿所
InternetCafe,网吧
RadioStation,无线广播电台
GovernmentOffice,政府办公室
PostOffice,邮局
Library,图书馆
TouristInformationCenter,旅游信息服务中心
ProfessionalService,专业服务
SelfStorage,自助存储
EntertainmentBusiness,娱乐服务机构
AmusementPark,游乐园
Casino,赌场
MovieTheater,电影院
ComedyClub,喜剧俱乐部
AdultEntertainment,成人娱乐场所
ArtGallery,艺术博物馆
NightClub,夜店
ShoppingCenter,购物中心
TelevisionStation,电视台
DryCleaningOrLaundry,干洗店或者洗衣店
EmploymentAgency,职业介绍所
EmergencyService,应急公共服务
PoliceStation,警察局
FireStation,消防站
Hospital,医院
FinancialService,金融服务机构
InsuranceAgency,保险服务机构
BankOrCreditUnion,银行或者信用合作社
AutomatedTeller,自动取款机
AccountingService,会计服务
HealthAndBeautyBusiness,健康与美容服务机构
HealthClub,健身房
BeautySalon,美容美发店
NailSalon,美甲店
TattooParlor,纹身工作室
HairSalon,美发店
DaySpa,日间水疗中心
TravelAgency,旅行社
SportsActivityLocation,运动场所
HealthClub,健身房
ExerciseGym,健身房
GolfCourse,高尔夫球场
SportsClub,体育俱乐部
StadiumOrArena,体育场馆
TennisComplex,网球中心
SkiResort,滑雪圣地
PublicSwimmingPool,公共游泳池
BowlingAlley,保龄球场
Dentist,牙科诊所
Store,商店
GroceryStore,杂货店
ConvenienceStore,便利店
AutoPartsStore,汽车配件店
JewelryStore,珠宝店
TireShop,轮胎店
MovieRentalStore,影碟出租店
ToyStore,玩具店
BookStore,书店
OutletStore,工厂直销店
MobilePhoneStore,手机店
LiquorStore,出售酒类的小店
BikeStore,自行车店
SportingGoodsStore,运动用品店
OfficeEquipmentStore,办公用品店
ClothingStore,服装店
MusicStore,音乐商店
ComputerStore,电脑商店
ShoeStore,鞋店
PetStore,宠物店
Florist,花店
PawnShop,当铺
HomeGoodsStore,家居用品店
HobbyShop,业余爱好商店
ElectronicsStore,电子产品店
GardenStore,园艺店
FurnitureStore,家具店
HardwareStore,五金店
WholesaleStore,批发店
DepartmentStore,百货公司
MensClothingStore,男装店
LodgingBusiness,旅馆业
BedAndBreakfast,提供早餐的旅馆
Motel,汽车旅馆
Hotel,旅馆
Hostel,招待所
Resort,度假村
Campground,露营地
RecyclingCenter,垃圾回收站
AutomotiveBusiness,汽车产业
AutoPartsStore,汽车配件店
AutoRepair,汽车维修店
MotorcycleDealer,摩托车行
AutoRental,汽车租赁公司
AutoDealer,车行
GasStation,加油站
AutoBodyShop,汽车维修店
MotorcycleRepair,摩托车修理店
AutoWash,洗车店
SportsOrganization,体育机构
SportsTeam,竞技队伍
EducationalOrganization,教育机构
HighSchool,高中
School,学校
ElementarySchool,小学
CollegeOrUniversity,高校
Preschool,幼儿园
MiddleSchool,初中
Airline,航空公司
PerformingGroup,演出团体
MusicGroup,乐团
DanceGroup,舞蹈团
TheaterGroup,剧团
Corporation,法人团体
MedicalOrganization,医疗机构
Pharmacy,药店
Dentist,牙科诊所
Physician,医生
Hospital,医院
GovernmentOrganization,政府机构
NGO,非政府组织
Place,地方
Accommodation,住所
Suite,套房
Room,房间
HotelRoom,旅馆房间
MeetingRoom,会议室
Apartment,公寓
House,住宅
SingleFamilyResidence,独立家庭公寓
CampingPitch,露营地的一个露营点
TouristAttraction,观光地
AdministrativeArea,行政区
Country,国家
State,一级行政区
City,城镇
LocalBusiness,本地商铺
AnimalShelter,动物收容所
FoodEstablishment,餐饮服务机构
CafeOrCoffeeShop,咖啡馆
IceCreamShop,冰淇淋店
Restaurant,餐厅
Bakery,烘焙店
FastFoodRestaurant,快餐店
Winery,酒庄
BarOrPub,酒吧
Brewery,啤酒厂
LegalService,法律服务机构
Attorney,律师事务所
Notary,公证服务机构
HomeAndConstructionBusiness,家装服务机构
GeneralContractor,总承包商
HousePainter,油漆工
Electrician,电工
MovingCompany,搬家公司
HVACBusiness,暖通空调服务机构
Locksmith,锁匠
Plumber,水暖工
RoofingContractor,屋顶承包商
RealEstateAgent,房地产中介
ChildCare,托儿所
InternetCafe,网吧
RadioStation,无线广播电台
GovernmentOffice,政府办公室
PostOffice,邮局
Library,图书馆
TouristInformationCenter,旅游信息服务中心
ProfessionalService,专业服务
SelfStorage,自助存储
EntertainmentBusiness,娱乐服务机构
AmusementPark,游乐园
Casino,赌场
MovieTheater,电影院
ComedyClub,喜剧俱乐部
AdultEntertainment,成人娱乐场所
ArtGallery,艺术博物馆
NightClub,夜店
ShoppingCenter,购物中心
TelevisionStation,电视台
DryCleaningOrLaundry,干洗店或者洗衣店
EmploymentAgency,职业介绍所
EmergencyService,应急公共服务
PoliceStation,警察局
FireStation,消防站
Hospital,医院
